# GOLDEN del núcleo — generado por tools/gen_golden_core.py
# pvlib 0.15.2 · tracker schema 2.1.0
# albedo 0.25 (por defecto de pvlib: el core NO lo expone) · Linke 3.5 · altitud 300.0 m
# Perez allsitescomposite1990 · 7 escenarios · 1104 filas
# Las columnas zenit..dhi son ENTRADAS: el espejo debe consumirlas, no regenerarlas.
# *_theta/*_flag = el core TAL CUAL. *_fix_theta/*_fix_flag = el core con el azimut
# del eje propagado a la transposicion: las 4 politicas NO lo pasan (solo run_tracker),
# asi que con eje girado deciden con otra orientacion. Bug del core, no del espejo.
escenario,paso,dt_min,minuto_local,gcr,theta_max,axis_azimuth,doy,zenit,azimut,ghi,dni,dhi,theta_n,poa_n,diffuse_flat_theta,diffuse_flat_flag,diffuse_limited_theta,diffuse_limited_flag,diffuse_continuous_theta,diffuse_continuous_flag,diffuse_poa_switch_theta,diffuse_poa_switch_flag,diffuse_flat_fix_theta,diffuse_flat_fix_flag,diffuse_limited_fix_theta,diffuse_limited_fix_flag,diffuse_continuous_fix_theta,diffuse_continuous_fix_flag,diffuse_poa_switch_fix_theta,diffuse_poa_switch_fix_flag
ebro_verano,65,10,650,0.397,55.0,0.0,172,44.216109447004,98.56938599519322,707.796629226641,839.777373697369,105.9159563568794,43.89466627878424,990.5113875543002,43.89466627878424,0,43.89466627878424,1,43.89466627878424,0,43.89466627878424,0,43.89466627878424,0,43.89466627878424,1,43.89466627878424,0,43.89466627878424,0
ebro_verano,66,10,660,0.397,55.0,0.0,172,42.37317997798915,100.55792365830013,733.9089813624931,847.3753889977687,107.892703356928,41.88648259349029,995.3230824582124,41.88648259349029,0,41.88648259349029,1,41.88648259349029,0,41.88648259349029,0,41.88648259349029,0,41.88648259349029,1,41.88648259349029,0,41.88648259349029,0
ebro_verano,67,10,670,0.397,55.0,0.0,172,40.54238509887437,102.64231729970163,758.97747078028,854.3094861975213,109.76605922519411,39.84915127540196,998.9506500301945,39.84915127540196,0,39.84915127540196,0,39.84915127540196,0,39.84915127540196,0,39.84915127540196,0,39.84915127540196,0,39.84915127540196,0,39.84915127540196,0
ebro_verano,68,10,680,0.397,55.0,0.0,172,38.726838698960044,104.83725567844226,782.9494763896823,860.6338286113771,111.53680174350461,37.78220116612662,1001.5174555886978,37.78220116612662,0,37.78220116612662,1,37.78220116612662,0,37.78220116612662,0,37.78220116612662,0,37.78220116612662,1,37.78220116612662,0,37.78220116612662,0
ebro_verano,69,10,690,0.397,55.0,0.0,172,36.93014165465381,107.15969326359334,805.7751020868365,866.3958627659028,113.20538135178685,35.685364031623934,1003.1441558570307,35.685364031623934,0,35.685364031623934,1,35.685364031623934,0,35.685364031623934,0,35.685364031623934,0,35.685364031623934,1,35.685364031623934,0,35.685364031623934,0
ebro_verano,70,10,700,0.397,55.0,0.0,172,35.156495338117885,109.62923328334841,827.4071796091004,871.6372043053622,114.77198789455053,33.5585895281355,1003.9488638111236,33.5585895281355,0,33.5585895281355,1,33.5585895281355,0,33.5585895281355,0,33.5585895281355,0,33.5585895281355,1,33.5585895281355,0,33.5585895281355,0
ebro_verano,71,10,710,0.397,55.0,0.0,172,33.41084172770932,112.26854590230346,847.801281517836,876.3943814381073,116.23660671283051,31.402059582446707,1004.0471177078634,31.402059582446707,0,31.402059582446707,0,31.402059582446707,0,31.402059582446707,0,31.402059582446707,0,31.402059582446707,0,31.402059582446707,0,31.402059582446707,0
ebro_verano,72,10,720,0.397,55.0,0.0,172,31.699034784830374,115.10379905728462,866.9157489878531,880.6994621597216,117.599066504662,29.21620074627854,1003.5516689511551,29.21620074627854,0,29.21620074627854,0,29.21620074627854,0,29.21620074627854,0,29.21620074627854,0,29.21620074627854,0,29.21620074627854,0,29.21620074627854,0
ebro_verano,73,10,730,0.397,55.0,0.0,172,30.028050012819683,118.16505013893214,884.7117115453514,884.5805803113429,118.85907897693471,27.00169607087271,1002.5721009435044,27.00169607087271,0,27.00169607087271,0,27.00169607087271,0,27.00169607087271,0,27.00169607087271,0,27.00169607087271,0,27.00169607087271,0,27.00169607087271,0
ebro_verano,74,10,740,0.397,55.0,0.0,172,28.40623339139986,121.48651006844523,901.1531239890662,888.062382847842,120.01627342840072,24.75949296360929,1001.2142892552342,24.75949296360929,0,24.75949296360929,1,24.75949296360929,0,24.75949296360929,0,24.75949296360929,0,24.75949296360929,1,24.75949296360929,0,24.75949296360929,0
ebro_verano,75,10,750,0.397,55.0,0.0,172,26.843590483599066,125.10651707127153,916.2067981878719,891.1664064973386,121.07022572698463,22.49080852494574,999.5797117285426,22.49080852494574,0,22.49080852494574,1,22.49080852494574,0,22.49080852494574,0,22.49080852494574,0,22.49080852494574,1,22.49080852494574,0,22.49080852494574,0
ebro_verano,76,10,760,0.397,55.0,0.0,172,25.352104405395707,129.06695987795138,929.8424367994971,893.9113963853893,122.02048304968537,20.19713086972552,997.7646163549401,20.19713086972552,0,20.19713086972552,1,20.19713086972552,0,20.19713086972552,0,20.19713086972552,0,20.19713086972552,1,20.19713086972552,0,20.19713086972552,0
ebro_verano,77,10,770,0.397,55.0,0.0,172,23.94605399253581,133.4117535817419,942.0326664385258,896.3135749206626,122.86658490717491,17.880216004082275,995.8590541500303,17.880216004082275,0,17.880216004082275,1,17.880216004082275,0,17.880216004082275,0,17.880216004082275,0,17.880216004082275,1,17.880216004082275,0,17.880216004082275,0
ebro_verano,78,10,780,0.397,55.0,0.0,172,22.64227263489954,138.18382405019372,685.9822099758367,194.0515634776319,506.88689247159715,15.542079787771153,701.795154965951,15.542079787771153,0,15.542079787771153,1,15.542079787771153,0,15.542079787771153,0,15.542079787771153,0,15.542079787771153,1,15.542079787771153,0,15.542079787771153,0
ebro_verano,79,10,790,0.397,55.0,0.0,172,21.46024236751707,143.41997187457696,692.6271935485538,194.43090827327268,511.67585743961615,13.184984653585103,704.5045141115636,13.184984653585103,0,13.184984653585103,0,13.184984653585103,0,13.184984653585103,0,13.184984653585103,0,13.184984653585103,0,13.184984653585103,0,13.184984653585103,0
