tracker;zona;id;tipo;pend_long_pct;este_pend_transv_pct;este_pend_vector_pct;este_azimut_deg;este_vecina_critica;este_es_hermana;este_n_candidatas;oeste_pend_transv_pct;oeste_pend_vector_pct;oeste_azimut_deg;oeste_vecina_critica;oeste_es_hermana;oeste_n_candidatas
2028;SJ;TR-10_1-071;2TTx64;-0,098;2,415;2,417;272,300;TR-10_1-072-W;NO;1;-2,076;2,078;272,700;TR-10_1-070-E;NO;1
2029;SJ;TR-10_1-072;2TTx64;-0,066;2,732;2,733;271,400;TR-10_1-073-W;NO;1;-2,432;2,433;271,600;TR-10_1-071-E;NO;1
2030;SJ;TR-10_1-073;2TTx64;-0,132;2,475;2,479;273,100;TR-10_1-074-W;NO;1;-2,755;2,758;272,800;TR-10_1-072-E;NO;1
2031;SJ;TR-10_1-074;2TTx64;-0,182;1,970;1,978;275,300;TR-10_1-075-W;NO;1;-2,684;2,690;273,900;TR-10_1-073-E;NO;1
2032;SJ;TR-10_1-075;2TTx64;-0,286;3,015;3,029;275,400;TR-09_2-060-W;NO;1;-2,522;2,538;276,500;TR-10_1-074-E;NO;1
2033;SJ;TR-10_1-076;2TTx64;0,403;1,558;1,609;255,500;TR-10_1-077-W;NO;1;-3,329;3,353;263,100;TR-10_2-110-E;NO;1
2034;SJ;TR-10_1-077;2TTx64;0,593;1,107;1,256;241,800;TR-10_1-078-W;NO;1;-3,903;3,948;261,400;TR-10_1-076-E;NO;1
2035;SJ;TR-10_1-078;2TTx64;0,538;2,957;3,006;259,700;TR-10_1-079-W;NO;1;-1,358;1,461;248,400;TR-10_1-077-E;NO;1
2036;SJ;TR-10_1-079;2TTx64;0,411;1,917;1,961;257,900;TR-10_1-080-W;NO;1;-2,360;2,396;260,100;TR-10_1-078-E;NO;1
2037;SJ;TR-10_1-080;2TTx64;0,308;1,988;2,012;261,200;TR-10_1-081-W;NO;1;-1,521;1,552;258,500;TR-10_1-079-E;NO;1
2038;SJ;TR-10_1-081;2TTx64;0,386;3,491;3,512;263,700;TR-10_1-082-W;NO;1;-3,726;3,746;264,100;TR-10_1-080-E;NO;1
2039;SJ;TR-10_1-082;2TTx64;0,289;1,645;1,670;260,000;TR-10_1-083-W;NO;1;-4,190;4,200;266,100;TR-10_1-081-E;NO;1
2040;SJ;TR-10_1-083;2TTx64;0,417;4,540;4,559;264,800;TR-10_1-084-W;NO;1;-1,028;1,109;247,900;TR-10_1-082-E;NO;1
2041;SJ;TR-10_1-084;2TTx64;0,523;2,139;2,202;256,300;TR-10_1-085-W;NO;1;-3,215;3,257;260,800;TR-10_1-083-E;NO;1
2042;SJ;TR-10_1-085;2TTx64;0,398;2,649;2,679;261,500;TR-10_1-086-W;NO;1;0,402;0,566;134,700;TR-10_1-084-E;NO;1
2043;SJ;TR-10_1-086;2TTx64;0,193;2,076;2,085;264,700;TR-10_1-087-W;NO;1;-2,322;2,330;265,200;TR-10_1-085-E;NO;1
2044;SJ;TR-10_1-087;2TTx64;0,236;3,766;3,773;266,400;TR-10_1-088-W;NO;1;-2,026;2,040;263,300;TR-10_1-086-E;NO;1
2045;SJ;TR-10_1-088;2TTx64;0,013;1,623;1,623;269,500;TR-10_1-089-W;NO;1;-3,729;3,729;269,800;TR-10_1-087-E;NO;1
2046;SJ;TR-10_1-089;2TTx64;0,104;1,972;1,975;267,000;TR-10_1-090-W;NO;1;-3,573;3,575;268,300;TR-10_1-088-E;NO;1
2047;SJ;TR-10_1-090;2TTx64;0,003;1,901;1,901;269,900;TR-10_1-091-W;NO;1;-2,453;2,453;269,900;TR-10_1-089-E;NO;1
2048;SJ;TR-10_1-091;2TTx64;-0,053;2,637;2,638;271,200;TR-10_1-092-W;NO;1;-2,496;2,497;271,200;TR-10_1-090-E;NO;1
2049;SJ;TR-10_1-092;2TTx64;-0,283;3,569;3,580;274,500;TR-10_1-093-W;NO;1;-2,590;2,605;276,200;TR-10_1-091-E;NO;1
2050;SJ;TR-10_1-093;2TTx64;-0,493;3,295;3,332;278,500;TR-10_1-094-W;NO;1;-1,936;1,998;284,300;TR-10_1-092-E;NO;1
2051;SJ;TR-10_1-094;2TTx64;-0,558;2,648;2,706;281,900;TR-10_1-095-W;NO;1;-3,641;3,683;278,700;TR-10_1-093-E;NO;1
2052;SJ;TR-10_1-095;2TTx64;-0,963;3,833;3,952;284,100;TR-10_1-096-W;NO;1;-2,631;2,802;290,100;TR-10_1-094-E;NO;1
2053;SJ;TR-10_1-096;2TTx64;-0,980;3,482;3,617;285,700;TR-10_1-097-W;NO;1;-3,248;3,393;286,800;TR-10_1-095-E;NO;1
2054;SJ;TR-10_1-097;2TTx64;-0,800;2,680;2,797;286,600;TR-10_1-098-W;NO;1;-2,207;2,348;289,900;TR-10_1-096-E;NO;1
2055;SJ;TR-10_1-098;2TTx64;-0,530;1,957;2,028;285,200;TR-10_1-099-W;NO;1;-3,214;3,257;279,400;TR-10_1-097-E;NO;1
2056;SJ;TR-10_1-099;2TTx64;-0,282;3,614;3,625;274,500;TR-09_2-081-W;NO;1;-2,270;2,287;277,100;TR-10_1-098-E;NO;1
2057;SJ;TR-10_1-100;2TTx64;1,073;2,552;2,768;247,200;TR-10_1-101-W;NO;1;-2,503;2,723;246,800;TR-10_2-126-E;NO;1
2058;SJ;TR-10_1-101;2TTx64;0,720;1,366;1,544;242,200;TR-10_1-102-W;NO;1;-2,489;2,591;253,900;TR-10_1-100-E;NO;1
2059;SJ;TR-10_1-102;2TTx64;0,068;5,808;5,808;269,300;TR-10_1-103-W;NO;1;-2,351;2,352;268,400;TR-10_1-101-E;NO;1
2060;SJ;TR-10_1-103;2TTx64;-0,742;2,254;2,373;288,200;TR-10_1-104-W;NO;1;-5,067;5,121;278,300;TR-10_1-102-E;NO;1
2061;SJ;TR-10_1-104;2TTx64;-0,687;6,255;6,293;276,300;TR-10_1-105-W;NO;1;-2,583;2,673;284,900;TR-10_1-103-E;NO;1
2062;SJ;TR-10_1-105;2TTx64;-0,661;2,803;2,880;283,300;TR-10_1-106-W;NO;1;-1,318;1,474;296,600;TR-10_1-104-E;NO;1
2063;SJ;TR-10_1-106;2TTx64;-0,727;2,579;2,679;285,700;TR-10_1-107-W;NO;1;-2,663;2,760;285,300;TR-10_1-105-E;NO;1
2064;SJ;TR-10_1-107;2TTx64;-0,522;2,239;2,299;283,100;TR-10_1-108-W;NO;1;-2,349;2,406;282,500;TR-10_1-106-E;NO;1
2065;SJ;TR-10_1-108;2TTx64;-0,274;2,417;2,433;276,500;TR-10_1-109-W;NO;1;-2,198;2,215;277,100;TR-10_1-107-E;NO;1
2066;SJ;TR-10_1-109;2TTx64;-0,110;1,762;1,765;273,600;TR-10_1-110-W;NO;1;-2,649;2,651;272,400;TR-10_1-108-E;NO;1
2067;SJ;TR-10_1-110;2TTx64;0,114;2,454;2,457;267,300;TR-10_1-111-W;NO;1;-1,701;1,705;266,200;TR-10_1-109-E;NO;1
2068;SJ;TR-10_1-111;2TTx64;-0,118;2,266;2,269;273,000;TR-10_1-112-W;NO;1;-2,678;2,681;272,500;TR-10_1-110-E;NO;1
2069;SJ;TR-10_1-112;2TTx64;-0,167;3,752;3,756;272,500;TR-10_1-113-W;NO;1;-2,078;2,085;274,600;TR-10_1-111-E;NO;1
2070;SJ;TR-10_1-113;2TTx64;-0,229;2,334;2,345;275,600;TR-10_1-114-W;NO;1;-3,768;3,775;273,500;TR-10_1-112-E;NO;1
2071;SJ;TR-10_1-114;2TTx64;-0,070;3,022;3,023;271,300;TR-10_1-115-W;NO;1;-2,215;2,216;271,800;TR-10_1-113-E;NO;1
2072;SJ;TR-10_1-115;2TTx64;0,109;2,113;2,116;267,000;TR-10_1-116-W;NO;1;-2,969;2,971;267,900;TR-10_1-114-E;NO;1
2073;SJ;TR-10_1-116;2TTx64;0,268;1,585;1,608;260,400;TR-10_1-117-W;NO;1;-1,614;1,636;260,600;TR-10_1-115-E;NO;1
2074;SJ;TR-10_1-117;2TTx64;0,231;3,044;3,053;265,700;TR-10_1-118-W;NO;1;-2,623;2,633;265,000;TR-10_1-116-E;NO;1
2075;SJ;TR-10_1-118;2TTx64;0,788;0,025;0,788;181,800;TR-10_1-119-W;NO;1;-4,594;4,661;260,300;TR-10_1-117-E;NO;1
2076;SJ;TR-10_1-119;2TTx64;0,625;2,648;2,721;256,700;TR-10_1-120-W;NO;1;-0,884;1,083;234,700;TR-10_1-118-E;NO;1
2077;SJ;TR-10_1-120;2TTx64;1,002;2,832;3,004;250,500;TR-10_1-121-W;NO;1;-2,143;2,366;244,900;TR-10_1-119-E;NO;1
2078;SJ;TR-10_1-121;2TTx64;1,145;1,184;1,647;226,000;TR-10_1-122-W;NO;1;-3,328;3,519;251,000;TR-10_1-120-E;NO;1
2079;SJ;TR-10_1-122;2TTx64;1,138;0,790;1,385;214,800;TR-10_1-123-W;NO;1;-1,976;2,280;240,100;TR-10_1-121-E;NO;1
2080;SJ;TR-10_1-123;2TTx64;1,131;3,711;3,880;253,000;TR-09_2-102-W;NO;1;-0,650;1,305;209,900;TR-10_1-122-E;NO;1
2081;SJ;TR-10_2-002;2TTx64;0,693;2,230;2,335;252,700;TR-10_2-003-W;NO;1;-0,549;0,884;218,400;;NO;0
2082;SJ;TR-10_2-003;2TTx64;0,482;3,041;3,079;261,000;TR-10_2-004-W;NO;1;-2,267;2,318;258,000;TR-10_2-002-E;NO;1
2083;SJ;TR-10_2-004;2TTx64;0,143;2,249;2,254;266,400;TR-10_2-005-W;NO;1;-3,925;3,928;267,900;TR-10_2-003-E;NO;1
2084;SJ;TR-10_2-005;2TTx64;0,305;2,760;2,777;263,700;TR-10_2-006-W;NO;1;-2,686;2,703;263,500;TR-10_2-004-E;NO;1
2085;SJ;TR-10_2-006;2TTx64;0,189;2,253;2,261;265,200;TR-10_2-007-W;NO;1;-2,397;2,404;265,500;TR-10_2-005-E;NO;1
2086;SJ;TR-10_2-007;2TTx64;0,275;2,161;2,178;262,700;;NO;0;-1,971;1,990;262,100;TR-10_2-006-E;NO;1
2087;SJ;TR-10_2-008;2TTx64;0,513;3,736;3,771;262,200;TR-10_2-009-W;NO;1;0,104;0,523;168,500;;NO;0
2088;SJ;TR-10_2-009;2TTx64;0,227;3,270;3,278;266,000;TR-10_2-010-W;NO;1;-3,736;3,743;266,500;TR-10_2-008-E;NO;1
2089;SJ;TR-10_2-010;2TTx64;0,032;2,108;2,108;269,100;TR-10_2-011-W;NO;1;-2,468;2,468;269,300;TR-10_2-009-E;NO;1
2090;SJ;TR-10_2-011;2TTx64;0,167;2,005;2,012;265,200;TR-10_2-012-W;NO;1;-1,821;1,829;264,800;TR-10_2-010-E;NO;1
