planta,ncu,tcu,tracker,zona,id_levantamiento,tipo,linea,r41033_west_pitch_m,r41106_east_pitch_m,r41035_panel_width_m,r41037_max_west_deg,r41038_max_east_deg,r41098_west_grade_rad,r41100_west_grade_azimuth_rad,r41102_east_grade_rad,r41104_east_grade_azimuth_rad,oeste_vector_pct,oeste_azimut_deg,este_vector_pct,este_azimut_deg,oeste_transv_pct,este_transv_pct,pendiente_longitudinal_pct,oeste_vecina_critica,este_vecina_critica
ayora,13,75,TK 075-09,PD,PD-116,2TTx42,74,5.99,6.004,2.384,55,55,0.070294,0.202458,0.068891,0.027925,7.041,11.6,6.9,1.6,1.417,-0.192,-6.897,PD-116-0 (hermana),PD-128-0
ayora,10,67,TK 067-07,PD,PD-117,2TTx56,72,5.8,6.003,2.384,55,55,0.040089,0.148353,0.039699,0.047124,4.011,8.5,3.972,2.7,0.592,-0.188,-3.967,PD-108-1,PD-117-1 (hermana)
ayora,11,40,TK 040-07,PD,PD-118,2TTx56,72,5.8,6.003,2.384,55,55,0.04923,5.710717,0.051714,5.640904,4.927,327.2,5.176,323.2,-2.667,3.103,-4.143,PD-118-0 (hermana),PD-130-0
ayora,11,7,TK 007-07,PD,PD-119,2TTx42,72,5.8,6.003,2.384,55,55,0.052751,5.948082,0.052761,5.948082,5.28,340.8,5.281,340.8,-1.737,1.739,-4.986,PD-110-1,PD-119-1 (hermana)
ayora,11,6,TK 006-07,PD,PD-120,2TTx56,72,5.8,6.003,2.384,55,55,0.0313,6.174975,0.032089,6.035349,3.131,353.8,3.21,345.8,-0.34,0.786,-3.112,PD-120-0 (hermana),PD-132-0
ayora,12,38,TK 038-08,PD,PD-121,2TTx42,74,5.99,6.004,2.384,55,55,0.020977,1.071632,0.01008,6.188938,2.098,61.4,1.008,354.6,1.843,0.095,-1.004,PD-112-1,PD-121-1 (hermana)
ayora,12,1,TK 001-08,PD,PD-122,2TTx28,74,5.99,6.004,2.384,55,55,0.025015,0.406662,0.023296,0.165806,2.502,23.3,2.33,9.5,0.991,-0.386,-2.298,PD-122-0 (hermana),PD-135-0
ayora,13,80,TK 080-09,PD,PD-123,2TTx28,76,5.886,5.726,2.384,55,55,0.070344,1.197296,0.025674,6.25526,7.046,68.6,2.568,358.4,6.562,0.07,-2.567,PD-113-1,PD-136-0
ayora,10,89,TK 089-07,PD,PD-124,2TTx42,74,5.99,6.004,2.384,55,55,0.024205,0.837758,0.016698,0.247837,2.421,48,1.67,14.2,1.8,-0.41,-1.618,PD-114-1,PD-124-1 (hermana)
ayora,13,79,TK 079-09,PD,PD-125,2TTx56,76,5.886,5.726,2.384,55,55,0.067199,0.3735,0.062568,6.269223,6.73,21.4,6.265,359.2,2.459,0.092,-6.265,PD-125-0 (hermana),PD-138-0
ayora,15,37,TK 037-010,PD,PD-126,2TTx56,70,4.447,5.869,2.384,55,55,0.022756,5.682792,0.022756,5.682792,2.276,325.6,2.276,325.6,-1.287,1.287,-1.877,PD-126-0 (hermana),PD-126-1 (hermana)
