planta,ncu,tcu,tracker,zona,id_levantamiento,tipo,linea,r41033_west_pitch_m,r41106_east_pitch_m,r41035_panel_width_m,r41037_max_west_deg,r41038_max_east_deg,r41098_west_grade_rad,r41100_west_grade_azimuth_rad,r41102_east_grade_rad,r41104_east_grade_azimuth_rad,oeste_vector_pct,oeste_azimut_deg,este_vector_pct,este_azimut_deg,oeste_transv_pct,este_transv_pct,pendiente_longitudinal_pct,oeste_vecina_critica,este_vecina_critica
sanjose,1,49,TR-01_1-049,SJ,TR-01_1-049,2TTx64,458,6.214,6.184,2.382,55,55,0.020407,4.975934,0.034287,4.867723,2.041,285.1,3.43,278.9,-1.97,3.388,-0.533,TR-01_1-048-E,TR-01_1-050-W
sanjose,1,50,TR-01_1-050,SJ,TR-01_1-050,2TTx64,460,6.164,6.161,2.382,55,55,0.031589,4.95848,0.03072,4.965462,3.16,284.1,3.073,284.5,-3.065,2.975,-0.771,TR-01_1-049-E,TR-01_1-051-W
sanjose,1,51,TR-01_1-051,SJ,TR-01_1-051,2TTx64,462,6.593,6.207,2.382,55,55,0.029611,5.035275,0.018438,5.248205,2.962,288.5,1.844,300.7,-2.809,1.586,-0.94,TR-01_1-050-E,
sanjose,1,52,TR-01_1-052,SJ,TR-01_1-052,2TTx64,464,12.393,6.185,2.382,55,55,0.017408,5.473353,0.038132,5.031784,1.741,313.6,3.815,288.3,-1.262,3.621,-1.2,,TR-01_1-053-W
sanjose,1,53,TR-01_1-053,SJ,TR-01_1-053,2TTx64,465,6.185,6.2,2.382,55,55,0.033278,5.057964,0.033408,5.056219,3.329,289.8,3.342,289.7,-3.133,3.147,-1.125,TR-01_1-052-E,TR-01_1-054-W
sanjose,1,54,TR-01_1-054,SJ,TR-01_1-054,2TTx64,467,6.281,6.031,2.382,55,55,0.0394,4.944518,0.012889,5.48906,3.942,283.3,1.289,314.5,-3.837,0.919,-0.904,TR-01_1-053-E,TR-01_1-055-W
sanjose,1,55,TR-01_1-055,SJ,TR-01_1-055,2TTx64,469,6.353,6.101,2.382,55,55,0.013819,4.979424,0.032828,4.82409,1.382,285.3,3.284,276.4,-1.333,3.264,-0.365,TR-01_1-054-E,TR-01_1-056-W
sanjose,1,56,TR-01_1-056,SJ,TR-01_1-056,2TTx64,471,5.459,6.526,2.382,55,55,0.027213,4.749041,0.013099,4.789183,2.722,272.1,1.31,274.4,-2.72,1.306,-0.101,TR-01_1-055-E,TR-01_1-057-W
sanjose,1,57,TR-01_1-057,SJ,TR-01_1-057,2TTx64,473,6.178,6.162,2.382,55,55,0.080525,4.639085,0.043752,4.576253,8.07,265.8,4.378,262.2,-8.048,4.337,0.596,TR-01_1-056-E,TR-01_1-058-W
sanjose,1,58,TR-01_1-058,SJ,TR-01_1-058,2TTx64,475,6.273,6.102,2.382,55,55,0.060795,4.862487,0.024585,5.092871,6.087,278.6,2.459,291.8,-6.018,2.283,-0.914,TR-01_1-057-E,TR-01_1-059-W
sanjose,1,59,TR-01_1-059,SJ,TR-01_1-059,2TTx64,477,6.068,6.226,2.382,55,55,0.03066,4.982915,0.033987,4.956735,3.067,285.5,3.4,284,-2.955,3.3,-0.82,TR-01_1-058-E,TR-01_1-060-W
sanjose,1,60,TR-01_1-060,SJ,TR-01_1-060,2TTx64,479,6.273,6.097,2.382,55,55,0.033497,4.925319,0.015239,5.195845,3.351,282.2,1.524,297.7,-3.275,1.349,-0.709,TR-01_1-059-E,TR-01_1-061-W
sanjose,1,61,TR-01_1-061,SJ,TR-01_1-061,2TTx64,481,6.281,6.141,2.382,55,55,0.020687,5.070181,0.034057,4.927064,2.069,290.5,3.407,282.3,-1.938,3.329,-0.724,TR-01_1-060-E,TR-01_1-062-W
sanjose,1,62,TR-01_1-062,SJ,TR-01_1-062,2TTx64,483,6.267,6.116,2.382,55,55,0.026114,5.155703,0.031699,5.073672,2.612,295.4,3.171,290.7,-2.36,2.966,-1.12,TR-01_1-061-E,TR-01_1-063-W
sanjose,1,63,TR-01_1-063,SJ,TR-01_1-063,2TTx64,485,6.261,6.115,2.382,55,55,0.028772,5.009095,0.020667,5.131268,2.878,287,2.067,294,-2.752,1.888,-0.841,TR-01_1-062-E,TR-01_1-064-W
sanjose,1,64,TR-01_1-064,SJ,TR-01_1-064,2TTx64,487,6.299,6.101,2.382,55,55,0.025654,5.044002,0.041586,4.914847,2.566,289,4.161,281.6,-2.426,4.076,-0.837,TR-01_1-063-E,TR-01_1-065-W
sanjose,1,65,TR-01_1-065,SJ,TR-01_1-065,2TTx64,489,6.159,6.167,2.382,55,55,0.040668,4.893903,0.039639,4.899139,4.069,280.4,3.966,280.7,-4.002,3.897,-0.735,TR-01_1-064-E,TR-01_1-066-W
sanjose,1,66,TR-01_1-066,SJ,TR-01_1-066,2TTx64,491,6.219,6.173,2.382,55,55,0.022526,5.023058,0.023756,5.00735,2.253,287.8,2.376,286.9,-2.145,2.273,-0.69,TR-01_1-065-E,TR-01_1-067-W
sanjose,1,67,TR-01_1-067,SJ,TR-01_1-067,2TTx64,493,6.195,6.198,2.382,55,55,0.022936,4.925319,0.029062,4.879941,2.294,282.2,2.907,279.6,-2.242,2.866,-0.485,TR-01_1-066-E,TR-01_1-068-W
