cfg,nombre,dia,minZ,elev,mv,intervalos_fs0,n_cruces,theta_poa_max,fs_en_theta_max,poa_max_Wm2,n_pares_contraejemplo
22,"Zaragoza · valle 1 · N-S constante 0° · quebrado · medios ×2 · 8 filas · az 15°",21-dic,540,12.710,17,"-47.5…17.5",2,35.25,2.911026e-1,295.0340,119
22,"Zaragoza · valle 1 · N-S constante 0° · quebrado · medios ×2 · 8 filas · az 15°",21-dic,600,19.230,17,"-55…55",0,55,0.000000e+0,552.9968,0
22,"Zaragoza · valle 1 · N-S constante 0° · quebrado · medios ×2 · 8 filas · az 15°",21-dic,640,22.356,17,"-55…55",0,55,0.000000e+0,539.0837,0
23,"Zaragoza · aleatorio 7 · N-S rotula 6° · quebrado · tresbolillo ×1 · 8 filas · az 0°",21-jun,800,66.059,17,"-55…55",0,-19.75,0.000000e+0,959.0254,0
23,"Zaragoza · aleatorio 7 · N-S rotula 6° · quebrado · tresbolillo ×1 · 8 filas · az 0°",21-mar,840,41.965,17,"-55…55",0,-37.75,0.000000e+0,799.9723,0
23,"Zaragoza · aleatorio 7 · N-S rotula 6° · quebrado · tresbolillo ×1 · 8 filas · az 0°",21-dic,620,20.929,17,"-55…10",1,50.25,2.196564e-2,420.0086,179
23,"Zaragoza · aleatorio 7 · N-S rotula 6° · quebrado · tresbolillo ×1 · 8 filas · az 0°",21-dic,700,24.835,17,"-55…55",0,15.25,0.000000e+0,360.6299,0
23,"Zaragoza · aleatorio 7 · N-S rotula 6° · quebrado · tresbolillo ×1 · 8 filas · az 0°",21-dic,720,25.020,17,"-55…55",0,3.75,0.000000e+0,353.1416,0
24,"Zaragoza · llano · N-S aleatorio 3° · bifila · tresbolillo ×2 · 10 filas · az 0°",21-jun,480,36.473,33,"-51…-22",2,55,1.153573e-1,889.0350,291
24,"Zaragoza · llano · N-S aleatorio 3° · bifila · tresbolillo ×2 · 10 filas · az 0°",21-jun,760,70.452,33,"-55…55",0,-9.75,0.000000e+0,950.2622,0
24,"Zaragoza · llano · N-S aleatorio 3° · bifila · tresbolillo ×2 · 10 filas · az 0°",21-mar,600,39.364,33,"-55…27 51.5…55",2,43.75,3.881067e-4,806.7677,97
24,"Zaragoza · llano · N-S aleatorio 3° · bifila · tresbolillo ×2 · 10 filas · az 0°",21-dic,680,24.323,33,"-55…55",0,25.75,0.000000e+0,368.7355,0
24,"Zaragoza · llano · N-S aleatorio 3° · bifila · tresbolillo ×2 · 10 filas · az 0°",21-dic,720,25.020,33,"-55…55",0,3.5,0.000000e+0,347.6147,0
