caso,hora,elev,azimut,torsion,politica,fila,theta_JS,theta_PY,dtheta_con_signo,dPOA,se_movio_fila,se_movio_politica
A,07:30,9.2834,66.7257,0.0000,astro,1,55.000000,55.000000,0.000000,22.181759,0,0
A,07:30,9.2834,66.7257,0.0000,astro,2,55.000000,55.000000,0.000000,22.181759,0,0
A,07:30,9.2834,66.7257,0.0000,astro,3,55.000000,55.000000,0.000000,22.181759,0,0
A,07:30,9.2834,66.7257,0.0000,astro,4,55.000000,55.000000,0.000000,22.181759,0,0
A,07:30,9.2834,66.7257,0.0000,astro,5,55.000000,55.000000,0.000000,22.181759,0,0
A,07:30,9.2834,66.7257,0.0000,global,0,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,global,1,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,global,2,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,global,3,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,global,4,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,global,5,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,row,0,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,row,1,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,row,2,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,row,3,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,row,4,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,row,5,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,pairwise,0,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,pairwise,1,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,pairwise,2,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,pairwise,3,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,pairwise,4,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,pairwise,5,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,true3d,0,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,true3d,1,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,true3d,2,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,true3d,3,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,true3d,4,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,true3d,5,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,mgl,0,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,mgl,1,42.078044,42.078044,0.000000,-6.476189,1,1
