bloque,cfg,nombre,dia,minZ,elev,unidad_o_pareja,bisection_deg,barrido_fino_deg,delta_deg,cruces
bt3dPairMaxMag,16,"Arequipa · cresta 1 · N-S constante -3° · mono · alineadas ×1 · 10 filas · az 15°",21-jun,1320,4.396,pareja 3,13.281968,13.250000,0.03196782,1
bt3dPairMaxMag,8,"Arequipa · valle 2 · N-S senoidal 2° · quebrado · alineadas ×1 · 6 filas · az -20°",21-jun,800,25.154,pareja 3,27.080919,27.050000,0.03091872,1
bt3dPairMaxMag,1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,440,29.019,pareja 0,25.180591,25.150000,0.03059119,1
bt3dPairMaxMag,1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,440,29.019,pareja 3,25.180591,25.150000,0.03059119,1
bt3dPairMaxMag,1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,440,29.019,pareja 4,25.180591,25.150000,0.03059119,1
bt3dPairMaxMag,16,"Arequipa · cresta 1 · N-S constante -3° · mono · alineadas ×1 · 10 filas · az 15°",21-mar,680,6.179,pareja 4,11.479922,11.450000,0.02992216,1
bt3dPairMaxMag,14,"Zaragoza · aleatorio 42 · N-S constante 0° · mono · medios ×1 · 6 filas · az 0°",21-jun,380,18.045,pareja 2,18.579883,18.550000,0.02988300,1
bt3dPairMaxMag,16,"Arequipa · cresta 1 · N-S constante -3° · mono · alineadas ×1 · 10 filas · az 15°",21-mar,680,6.179,pareja 5,17.179850,17.150000,0.02985032,1
bt3dPairMaxMag,16,"Arequipa · cresta 1 · N-S constante -3° · mono · alineadas ×1 · 10 filas · az 15°",21-mar,680,6.179,pareja 6,17.179850,17.150000,0.02985032,1
bt3dPairMaxMag,16,"Arequipa · cresta 1 · N-S constante -3° · mono · alineadas ×1 · 10 filas · az 15°",21-mar,680,6.179,pareja 7,17.179850,17.150000,0.02985032,1
bt3dPairMaxMag,16,"Arequipa · cresta 1 · N-S constante -3° · mono · alineadas ×1 · 10 filas · az 15°",21-mar,680,6.179,pareja 8,17.179850,17.150000,0.02985032,1
bt3dPairMaxMag,14,"Zaragoza · aleatorio 42 · N-S constante 0° · mono · medios ×1 · 6 filas · az 0°",21-jun,1140,5.942,pareja 2,23.528434,23.500000,0.02843355,1
bt3dPairMaxMag,15,"Zaragoza · cresta 1 · N-S rotula 4° · quebrado · alineadas ×1 · 8 filas · az 15°",21-mar,400,5.850,pareja 3,9.177948,9.150000,0.02794783,1
bt3dPairMaxMag,22,"Zaragoza · valle 1 · N-S constante 0° · quebrado · medios ×2 · 8 filas · az 15°",21-mar,400,5.850,pareja 3,9.177948,9.150000,0.02794783,1
bt3dPairMaxMag,37,"Zaragoza · aleatorio 13 · N-S senoidal 3° · bifila · alineadas ×1 · 6 filas · az 0°",21-jun,360,14.486,pareja 3,53.726988,53.700000,0.02698819,1
bt3dPairMaxMag,22,"Zaragoza · valle 1 · N-S constante 0° · quebrado · medios ×2 · 8 filas · az 15°",21-dic,540,12.710,pareja 0,35.326612,35.300000,0.02661210,1
bt3dPairMaxMag,22,"Zaragoza · valle 1 · N-S constante 0° · quebrado · medios ×2 · 8 filas · az 15°",21-dic,540,12.710,pareja 1,35.326612,35.300000,0.02661210,1
bt3dPairMaxMag,22,"Zaragoza · valle 1 · N-S constante 0° · quebrado · medios ×2 · 8 filas · az 15°",21-dic,540,12.710,pareja 2,35.326612,35.300000,0.02661210,1
bt3dPairMaxMag,5,"Zaragoza · pendiente 10 · N-S aleatorio 3° · quebrado · bagnarelli ×2 · 10 filas · az -20°",21-jun,320,7.595,pareja 0,43.276220,43.250000,0.02622020,1
bt3dPairMaxMag,8,"Arequipa · valle 2 · N-S senoidal 2° · quebrado · alineadas ×1 · 6 filas · az -20°",21-jun,800,25.154,pareja 4,27.726007,27.700000,0.02600712,1
bt3dPairMaxMag,9,"Zaragoza · pendiente -10 · N-S senoidal 4° · mono · alineadas ×1 · 6 filas · az 15°",21-jun,440,29.019,pareja 0,32.325962,32.300000,0.02596212,1
bt3dPairMaxMag,9,"Zaragoza · pendiente -10 · N-S senoidal 4° · mono · alineadas ×1 · 6 filas · az 15°",21-jun,440,29.019,pareja 3,32.325962,32.300000,0.02596212,1
bt3dPairMaxMag,5,"Zaragoza · pendiente 10 · N-S aleatorio 3° · quebrado · bagnarelli ×2 · 10 filas · az -20°",21-jun,320,7.595,pareja 7,42.975598,42.950000,0.02559777,1
bt3dPairMaxMag,37,"Zaragoza · aleatorio 13 · N-S senoidal 3° · bifila · alineadas ×1 · 6 filas · az 0°",21-jun,340,10.996,pareja 2,39.925454,39.900000,0.02545441,1
bt3dPairMaxMag,3,"Arequipa · cresta 1 · N-S aleatorio 3° · quebrado · alineadas ×2 · 6 filas · az 0°",21-mar,1300,17.657,pareja 0,50.675231,50.650000,0.02523145,1
