cfg,nombre,dia,minZ,elev,az,torsion_max,mv,fs_min_criba,theta_fs_min,hay_cero
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,1200,41.1691,285.7922,6.0000,33,1.173776e-2,45.5,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,1220,36.5321,283.3969,6.0000,33,1.308465e-2,41.5,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,1240,31.8523,281.2784,6.0000,33,1.263248e-2,35,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,1260,27.1408,279.3695,6.0000,33,1.362300e-2,29,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,1280,22.4065,277.6197,6.0000,33,9.855501e-3,24.5,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,1300,17.6572,275.9894,6.0000,33,2.084619e-2,17.5,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,1320,12.9018,274.4469,6.0000,33,1.611285e-2,13,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,1340,8.1561,272.9659,6.0000,33,1.914381e-2,7.5,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,1360,3.4752,271.5234,6.0000,64,2.029994e-2,2.5,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,640,5.5090,112.8863,6.0000,64,3.913313e-2,-2.5,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,660,9.8795,111.6997,6.0000,33,3.263978e-2,-9.5,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,680,14.3190,110.6399,6.0000,33,2.932207e-2,-23,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,700,18.8002,109.7012,6.0000,33,1.459436e-2,-24,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,720,23.3118,108.8811,6.0000,33,1.276960e-2,-29,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,740,27.8469,108.1807,6.0000,33,1.493321e-2,-33.5,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,760,32.4005,107.6058,6.0000,33,1.102022e-2,-38.5,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,780,36.9680,107.1676,6.0000,33,1.420739e-2,-42.5,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,800,41.5453,106.8854,6.0000,33,1.048009e-2,-48,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,820,46.1277,106.7892,6.0000,33,0.000000e+0,-55,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,840,50.7102,106.9266,6.0000,33,0.000000e+0,-55,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,860,55.2860,107.3727,6.0000,33,0.000000e+0,-55,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,880,59.8457,108.2507,6.0000,33,0.000000e+0,-55,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,900,64.3745,109.7715,6.0000,33,0.000000e+0,-55,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,920,68.8464,112.3221,6.0000,33,0.000000e+0,-55,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,940,73.2097,116.6755,6.0000,33,0.000000e+0,-55,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,960,77.3452,124.5416,6.0000,33,0.000000e+0,-55,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,980,80.9293,139.9625,6.0000,33,0.000000e+0,-55,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,1000,83.0437,169.7235,6.0000,33,0.000000e+0,-55,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,1020,82.3507,206.0083,6.0000,33,0.000000e+0,-55,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,1040,79.3872,228.4830,6.0000,33,0.000000e+0,-55,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,1060,75.4845,239.6903,6.0000,33,0.000000e+0,-55,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,1080,71.2217,245.6266,6.0000,33,0.000000e+0,-55,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,1100,66.7992,249.0147,6.0000,33,0.000000e+0,-55,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,1120,62.2968,251.0263,6.0000,33,0.000000e+0,4.5,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,1140,57.7514,252.2170,6.0000,33,0.000000e+0,25.5,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,1160,53.1829,252.8767,6.0000,33,0.000000e+0,40.5,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,1180,48.6031,253.1691,6.0000,33,0.000000e+0,48.5,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,1200,44.0199,253.1917,6.0000,33,0.000000e+0,44,1
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,1220,39.4393,253.0053,6.0000,33,2.898890e-3,39.5,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,1240,34.8660,252.6483,6.0000,33,1.103880e-2,34.5,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,1260,30.3044,252.1454,6.0000,33,6.540405e-3,30.5,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,1280,25.7587,251.5118,6.0000,33,4.761788e-4,25.5,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,1300,21.2337,250.7559,6.0000,33,4.241479e-3,21,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,1320,16.7351,249.8813,6.0000,33,1.056628e-2,16.5,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,1340,12.2712,248.8874,6.0000,33,3.816135e-3,12.5,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,1360,7.8581,247.7702,6.0000,33,1.018038e-2,8,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,1380,3.5464,246.5223,6.0000,64,0.000000e+0,3.5,1
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,300,4.3153,62.0288,0.0000,33,0.000000e+0,-8,1
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,320,7.5953,65.1785,0.0000,17,0.000000e+0,-17,1
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,340,10.9965,68.2578,0.0000,17,0.000000e+0,-11.5,1
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,360,14.4858,71.2858,0.0000,17,0.000000e+0,-25.5,1
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,380,18.0452,74.2827,0.0000,17,0.000000e+0,-39.5,1
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,400,21.6612,77.2704,0.0000,17,0.000000e+0,-53.5,1
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,420,25.3226,80.2731,0.0000,17,0.000000e+0,-55,1
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,440,29.0187,83.3183,0.0000,17,0.000000e+0,-55,1
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,460,32.7391,86.4376,0.0000,17,0.000000e+0,-55,1
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,480,36.4729,89.6687,0.0000,17,0.000000e+0,-55,1
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,500,40.2084,93.0578,0.0000,17,0.000000e+0,-55,1
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,520,43.9319,96.6624,0.0000,17,0.000000e+0,-55,1
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,540,47.6271,100.5563,0.0000,17,0.000000e+0,-55,1
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,560,51.2734,104.8355,0.0000,17,0.000000e+0,-55,1
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,580,54.8437,109.6272,0.0000,17,0.000000e+0,-55,1
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,600,58.3011,115.1015,0.0000,17,0.000000e+0,-55,1
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,620,61.5938,121.4838,0.0000,17,0.000000e+0,-55,1
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,640,64.6480,129.0638,0.0000,17,0.000000e+0,-55,1
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,660,67.3579,138.1801,0.0000,17,0.000000e+0,-55,1
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,680,69.5784,149.1387,0.0000,17,0.000000e+0,-55,1
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,700,71.1301,162.0059,0.0000,17,0.000000e+0,-55,1
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,720,71.8368,176.3074,0.0000,17,0.000000e+0,-55,1
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,740,71.5993,190.9409,0.0000,17,0.000000e+0,-55,1
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,760,70.4524,204.6300,0.0000,17,0.000000e+0,-55,1
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,780,68.5438,216.5649,0.0000,17,0.000000e+0,-55,1
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,800,66.0587,226.5756,0.0000,17,0.000000e+0,-55,1
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,820,63.1617,234.8830,0.0000,17,0.000000e+0,-55,1
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,840,59.9777,241.8261,0.0000,17,0.000000e+0,-55,1
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,860,56.5952,247.7238,0.0000,17,0.000000e+0,-55,1
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,880,53.0761,252.8336,0.0000,17,0.000000e+0,-55,1
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,900,49.4641,257.3516,0.0000,17,0.000000e+0,-55,1
