origen,destino,rssi_medido_dbm,llega,beta_grados,hora_utc,distancia_m,mesas,clase,et_origen,et_destino,esclavo_origen,esclavo_destino,lat_origen,lon_origen,lat_destino,lon_destino,margen_previsto_planas_db,margen_previsto_canto_db
TCU_SUNNER_ID_063,TCU_SUNNER_ID_074,,,,,68.4,6,diagonal,TK063,TK074,63,74,42.319404,-5.600191,42.321187,-5.600944,35.5,26.8
TCU_SUNNER_ID_060,TCU_SUNNER_ID_090,,,,,70.0,15,filas,TK060,TK090,60,90,42.319398,-5.600446,42.320635,-5.600497,32.0,22.4
TCU_SUNNER_ID_095,TCU_SUNNER_ID_109,,,,,71.6,9,diagonal,TK095,TK109,95,109,42.3212,-5.60035,42.320648,-5.599903,33.3,23.9
TCU_SUNNER_ID_084,TCU_SUNNER_ID_113,,,,,77.0,21,filas,TK084,TK113,84,113,42.320631,-5.600667,42.320652,-5.599733,27.8,20.0
TCU_SUNNER_ID_030,TCU_SUNNER_ID_046,,,,,78.3,19,diagonal,TK030,TK046,30,46,42.319363,-5.601974,42.319379,-5.601295,27.4,19.4
TCU_SUNNER_ID_064,TCU_SUNNER_ID_087,,,,,83.9,11,diagonal,TK064,TK087,64,87,42.319406,-5.600107,42.320633,-5.600582,29.4,20.9
NCU 3,TCU_SUNNER_ID_084,,,,,90.5,19,diagonal,NCU 3,TK084,,84,,,42.320631,-5.600667,36.5,-9.6
TCU_SUNNER_ID_001,TCU_SUNNER_ID_024,,,,,91.0,26,filas,TK001,TK024,1,24,42.319331,-5.603416,42.319358,-5.602228,23.7,17.0
TCU_SUNNER_ID_052,TCU_SUNNER_ID_092,,,,,98.0,23,filas,TK052,TK092,52,92,42.319385,-5.60104,42.321198,-5.600435,23.1,16.9
TCU_SUNNER_ID_055,TCU_SUNNER_ID_091,,,,,104.6,19,diagonal,TK055,TK091,55,91,42.319388,-5.60087,42.320073,-5.600474,22.2,16.6
NCU 3,TCU_SUNNER_ID_052,,,,,106.6,1,eje,NCU 3,TK052,,52,,,42.319385,-5.60104,48.5,42.0
TCU_SUNNER_ID_024,TCU_SUNNER_ID_061,,,,,110.3,41,filas,TK024,TK061,24,61,42.319358,-5.602228,42.3194,-5.600361,18.9,11.3
TCU_SUNNER_ID_053,TCU_SUNNER_ID_102,,,,,119.0,29,filas,TK053,TK102,53,102,42.31884,-5.600945,42.320643,-5.600158,19.5,13.6
