origen,destino,rssi_medido_dbm,llega,beta_grados,hora_utc,distancia_m,mesas,clase,et_origen,et_destino,esclavo_origen,esclavo_destino,lat_origen,lon_origen,lat_destino,lon_destino,margen_previsto_planas_db,margen_previsto_canto_db
TCU_SUNNER_ID_041,TCU_SUNNER_ID_181,,,,,333.1,162,filas,TK0169,TK0570,41,181,37.377619,14.905459,37.37759,14.901697,-4.0,-3.9
TCU_SUNNER_ID_030,TCU_SUNNER_ID_192,,,,,360.0,106,diagonal,TK0060,TK0581,30,192,37.374928,14.905818,37.377579,14.903473,-5.6,-5.9
TCU_SUNNER_ID_168,TCU_SUNNER_ID_201,,,,,364.5,178,filas,TK0557,TK0697,168,201,37.377093,14.902053,37.377095,14.90617,-5.8,-8.7
TCU_SUNNER_ID_100,TCU_SUNNER_ID_127,,,,,366.9,0,eje,TK0228,TK0516,100,127,37.378401,14.904274,37.375094,14.904304,21.0,21.0
TCU_SUNNER_ID_124,TCU_SUNNER_ID_193,,,,,366.9,0,eje,TK0513,TK0652,124,193,37.375094,14.903949,37.378401,14.903919,21.0,21.0
TCU_SUNNER_ID_125,TCU_SUNNER_ID_194,,,,,366.9,0,eje,TK0514,TK0653,125,194,37.375094,14.904068,37.378401,14.904038,21.0,21.0
TCU_SUNNER_ID_026,TCU_SUNNER_ID_182,,,,,376.1,136,diagonal,TK0038,TK0571,26,182,37.375425,14.905699,37.37778,14.902644,-6.4,-9.3
TCU_SUNNER_ID_020,TCU_SUNNER_ID_161,,,,,385.6,178,filas,TK0024,TK0550,20,161,37.376078,14.907,37.375988,14.902646,-6.8,-11.8
TCU_SUNNER_ID_085,TCU_SUNNER_ID_119,,,,,397.3,142,diagonal,TK0213,TK0508,85,119,37.377427,14.906761,37.375093,14.903357,-7.2,-6.3
TCU_SUNNER_ID_022,TCU_SUNNER_ID_161,,,,,406.9,184,filas,TK0026,TK0550,22,161,37.37616,14.907237,37.375988,14.902646,-7.8,-12.8
TCU_SUNNER_ID_088,TCU_SUNNER_ID_101,,,,,428.1,175,diagonal,TK0216,TK0490,88,101,37.377427,14.907117,37.375745,14.902765,-8.7,-8.2
TCU_SUNNER_ID_022,TCU_SUNNER_ID_157,,,,,448.5,201,filas,TK0026,TK0546,22,157,37.37616,14.907237,37.376239,14.902172,-9.7,-9.4
